uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region;Capacité d'autofinancement;Charges de fonctionnement décaissables;Produits de fonctionnement encaissables;Résultat net comptable hors SIE;Subventions de la région;Subventions Union Européenne
0593561A;2017;4319043;;;;;-10522828;3.35609998219183;96.6439000178082;;;;97604280;85.3039487633812;;;57.368626735;17621632.0;;11678608;10.2068411186437;2183385;-2706666;;28144460.0;91.626531549;;2012;E;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0597065J;Université LILLE 3 - CHARLES-DE-GAULLE;;;;;;;3840030;110579386;114419416;2183385;;
0595964M;2017;3624562;;;;;-4152530;2.46276983238415;97.5372301676158;;;;68461412;84.3281123163238;;;33.222517896;7307586.0;;10571845;13.0219886868644;419964;-1864965;;11460116.0;52.101187575;;2010;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0595964M;Université du Littoral Côte d'Opale;59183;Dunkerque;A09;Lille;R32;Hauts-de-France;1999389;79185177;81184566;419964;;
0623957P;2017;3758132;;;;;-5679651;0.466747961176297;99.8411208576607;;;;77003327;81.7609804658947;;;69.130503529;18056770.0;;10361566;11.0017557465027;;-1753894;;23736421.0;90.875097579;;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0623957P;Université d'Artois;62041;Arras;A09;Lille;R32;Hauts-de-France;439588;94031388;94181022;;;
0632033T;2017;3535061;;;;;-1628185;10.2399629803899;89.7591929437654;;;;12456234;74.5674201091193;;;101.76912476;4238675.0;;3804361;22.7742498201101;874328;-2429980;;5866860.0;140.86128502;;2016;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;SIGMA Clermont;63014;Aubière;A06;Clermont-Ferrand;R84;Auvergne-Rhône-Alpes;1710551;14993968;16704660;874328;;
0690187D;2017;5482396;;;;;-3949212;5.59551954298598;94.404480457014;;;;25787854;74.1452105424805;;;48.107374081;4387669.0;;9266088;26.6418464159581;458515;4200107;;8336881.0;91.407408567;;2013;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0690187D;École centrale de Lyon;69081;Écully;A10;Lyon;R84;Auvergne-Rhône-Alpes;1946133;32834069;34780202;458515;;
0720916E;2017;4716208;;;;;-1857450;1.20679387213665;98.7932061278634;;;;72977689;85.708862929407;;;38.203709964;8926773.0;;13518345;15.8766603124064;;-740777;;10784223.0;46.152997022;;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0720916E;Le Mans Université;72181;Le Mans;A17;Nantes;R52;Pays de la Loire;1027537;84118487;85146024;;;
0753375L;2017;1993882;;;;;-781998;14.5230534799655;85.4769465200345;;;;8939261;66.7205426097382;;;70.450444;2241157.0;;2982727;22.262373130924;703497;21984;;3023155.0;95.032437277;;2011;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0753375L;École nationale supérieure de chimie de Paris;75105;Paris 5e;A01;Paris;R11;Île-de-France;1945808;11452256;13398064;703497;;
0753471R;2017;4770895;;;;;-1687284;4.13168611111723;95.8452536507058;;;;112238839;71.8939573912954;;;67.582349516;28090028.0;;47100164;30.1697452852219;3640316;3285044;;29777312.0;71.641819198;;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France;6450273;149630934;156117208;3640316;;
0860073M;2017;1726256;;;;;-271175;8.0356528461965;91.9643471538035;;;;11863136;72.7566129992369;;;68.407745461;2849373.0;;5248381;32.1883206337303;319897;425943;;3120548.0;74.918114716;;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;86062;Chasseneuil-du-Poitou;A13;Poitiers;R75;Nouvelle-Aquitaine;1310232;14995002;16305234;319897;;
0870669E;2017;34954838;;;;;-3750183;2.95597565727031;94.6265665104927;;;;124719358;83.0432014304385;;;28.251959365;11152929.0;;29043037;19.3380306827965;926256;-1336795;;14903112.0;37.751707613;;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0870669E;Université de Limoges;87085;Limoges;A22;Limoges;R75;Nouvelle-Aquitaine;4439465;142115964;150186115;926256;;
0932066R;2017;313514;;;;;-34972;7.52483777789076;;;;;777338;15.4384684072045;;;;2575047.0;;955737;18.981595496549;195764;;;2610019.0;;;;E;autres établissements;GR60;autres établissements d'enseignement et de recherche;0932066R;École nationale supérieure Louis Lumière;93051;Noisy-le-Grand;A24;Créteil;R11;Île-de-France;378881;;5035072;195764;;
1340004B;2017;209296;;;;;205530;13.0668744317521;83.8580021157136;;;;5039557;67.8606112085421;;;211.12815466;3652269.0;;981327;13.2141475957996;787706;715115;;3446739.0;199.24700088;;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1340004B;Casa de Velázquez de Madrid;99134;Madrid;A99;Étranger;R99;Étranger;970390;6227577;7426336;787706;;
0060099A;2018;1347280;504290;13219;101851;856828;181117;19.4628842825058;80.5371443285696;;;214497;948497;27.1375191336566;;;219.127782431594;1713393.0;;2126464;46.5384318269602;128445;-333395;;1532276.0;195.964522998024;;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0060099A;Observatoire de la côte d'azur;6088;Nice;A23;Nice;R93;Provence-Alpes-Côte d'Azur;680257;2814894;3495150;128445;94864;340915
0133774G;2018;1811775;160232;0;1098112;933643;-3098358;3.92320787054298;96.076792129457;;;32750;13491281;77.9845086257475;635705;;51.3915685096121;2372754.0;0;3415456;17.2324197468779;75411;203685;259561;5471112.0;118.499021462723;0;2014;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0133774G;École centrale de Marseille;13213;Marseille 13e;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;678713;16621237;17299950;75411;115524;179929
0141408E;2018;4186389;562403;;3098436;6666081;-10486856;2.74699486353224;103.070870154485;;;623560;184580126;83.6139190398748;4981910;;24.3360336843136;15381178.0;6781956;41402103;13.8809203250676;3006824;8858430;3386189;25868034.0;40.9282921484277;1178445;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0141408E;Université de Caen Normandie;14118;Caen;A05;Caen;R28;Normandie;6064070;227531904;220752870;3006824;12276489;1846634
0290119X;2018;911030;85446;;296928;167403;113139;7.29050302892269;92.7095270976208;;;92419;1215184;36.6092936771615;226696;;253.212904534018;2164504.0;35544;1150763;32.2328709511432;-128794;-506296;82790;2051365.0;239.9774220373;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0290119X;École nationale d'ingénieurs de Brest;29019;Brest;A14;Rennes;R53;Bretagne;241996;3077337;3319332;-128794;163537;
0301687W;2018;1068164;20802;0;196165;1772525;-3006280;9.49389114278836;90.5061088572116;;;156862;15251430;73.359822163604;476755;;94.6908122687323;4949206.0;393106;3301331;9.90663493009465;1232616;2051630;60924;7955486.0;152.208542407111;0;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0301687W;Université de Nîmes;30189;Nîmes;A11;Montpellier;R76;Occitanie;1973770;18816125;20789895;1232616;208441;15751
0312758E;2018;3892131;2115310;2264718;11342791;614950;-24141332;-111.292495274605;211.292495274605;;;25796;3628480;21.4660407552349;;;276.045045975824;27386360.0;90005;17428195;90.6319575705407;-24246236;-19311587;;51527692.0;519.381330967974;;;A;communauté d'universités et établissements;;communauté d'universités et établissements;0312758E;Université fédérale de Toulouse Midi-Pyrénées;31555;Toulouse;A16;Toulouse;R76;Occitanie;-18812160;35715510;16903350;130700;957525;17100
0333232J;2018;2978220;318315;15981;1955171;396548;-1022496;16.3222427739278;80.4202037818588;;;559332;4484614;32.6870078259505;785252;;345.161410951784;10578761.0;790185;7581108;49.8299728415735;309712;610777;413908;11601257.0;378.523178180721;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0333232J;Institut polytechnique de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine;2239390;11033545;13719867;309712;1446039;900377
0342321N;2018;65880810;2674006;21218236;8613889;16191773;-26964883;2.68131480532091;97.3186851946791;;;3040254;302387835;79.360223733869;5366387;;26.8306751740786;27636737.0;8610615;92884932;22.1883512539987;-1120264;8470114;7373825;54601620.0;53.0090918547467;811805;2015;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0342321N;Université de Montpellier;34172;Montpellier;A11;Montpellier;R76;Occitanie;10216667;370815317;381031984;-1136270;10936713;8047429
0352317D;2018;69129;;;175345;145734;-498479;3.96422771811255;96.0357722818874;;;;1721745;45.6254796419804;1111440;;192.749022365021;1940368.0;811984;2692582;68.369969854104;48063;260538;155343;2438847.0;242.266093312127;8965;;B;institut d'études politiques;GR20;instituts d'études politiques;0352317D;Institut d'études politiques de Rennes;35238;Rennes;A14;Rennes;R53;Bretagne;149596;3624052;3773648;48063;2128;281643
0421095M;2018;7300171;911415;0;5092656;5469417;-5484207;4.59316628448846;95.4068329406742;;;0;103833322;80.4539397218975;2170703;;55.1854775466868;18875185.0;4566397;26239169;17.3997955885997;2313136;2395249;851731;24359392.0;71.2196823642757;2017296;2009;A;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0421095M;Université Jean Monnet;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes;5927910;123131427;129059338;2313136;1855049;3304505
0440984F;2018;20800495;3321806;10631663;7209380;23606740;-36432424;2.77481147851739;97.0262220107435;;;46808;251546501;81.3250879356112;5927522;;25.191970452437;21001122.0;12689094;81208376;19.2950918128237;3004873;12588803;2214899;57433546.0;68.8946140025605;2809334;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0440984F;Université de Nantes;44109;Nantes;A17;Nantes;R52;Pays de la Loire;8582765;300111654;309309842;3004873;10269830;2481300
0490970N;2018;2039830;865714;1436599;5068036;7136353;-11227916;1.98447819596801;98.015521804032;;;4000;122010638;82.0499837467774;3665488;;52.2165876146074;21140733.0;3564814;31428953;16.7140430385119;413424;4669862;993506;32368649.0;79.9489968713466;893504;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0490970N;Université d'Angers;49007;Angers;A17;Nantes;R52;Pays de la Loire;2950975;145751843;148702818;413424;5657567;2143372
0590338X;2018;452179;231006;0;108704;182523;-1775264;12.6429747465772;87.3569973095654;;;234375;1600680;44.7291737224907;108966;;130.917748638026;1136861.0;39118;1629876;68.5518151770914;74640;-961157;595182;2912125.0;335.352209946961;0;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590338X;École nationale supérieure des arts et industries textiles;59512;Roubaix;A09;Lille;R32;Hauts-de-France;452442;3126161;3578604;74640;103713;26289
0590349J;2018;;199469;196094;690009;234239;;;;;;3309994;;;530428;;;;473523;6754429;;;;876982;;;0;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France;;;;;53714;189977
0595964M;2018;3136680;286986;0;2313802;1428441;-555331;1.62250624757434;98.0239508117761;;;236979;69789661;84.7888563162082;891025;;46.255566630385;10366831.0;1822858;11373868;13.6891951513271;56843;257630;1109545;10922162.0;48.7333874873487;1995;2010;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0595964M;Université du Littoral Côte d'Opale;59183;Dunkerque;A09;Lille;R32;Hauts-de-France;1335484;80683460;82309945;56843;2780045;502192
0597065J;2018;;3516973;1642875;8599417;17541466;;;;;;4147896;;;9005007;;;;10590810;68171433;;;;2601223;;;381511;;;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0597065J;Université de Lille;59350;Lille;A09;Lille;R32;Hauts-de-France;;;;;4452563;5691692
0623957P;2018;6355560;188578;108584;823274;2823960;-4585622;6.31546897262001;93.68453102738;;;57157;75445893;78.6209341711255;1424708;;80.2362781552127;20037040.0;3234219;12048067;11.930871336293;3144124;824355;303580;24622662.0;98.5989326344502;710680;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0623957P;Université d'Artois;62041;Arras;A09;Lille;R32;Hauts-de-France;6060424;89901159;95961583;3144124;1770208;603119
0632033T;2018;4611558;136176;0;553214;409708;-2166568;8.51983708898399;91.4801749560147;;;327940;12542760;75.5387637567435;440234;;83.2654418746975;3513278.0;450;2633676;17.6459110060091;693572;-3184973;204931;5679846.0;134.613568004079;527594;2016;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;SIGMA Clermont;63014;Aubière;A06;Clermont-Ferrand;R84;Auvergne-Rhône-Alpes;1414668;15189736;16604402;693572;24889;8540
0690192J;2018;14636968;3619573;393097;16651863;8465141;-3514491;9.05145693016929;90.9485430698307;;;3818193;18287370;34.579054804717;6356409;;165.631505677069;22129639.0;3605307;50702865;64.6136757044936;2675781;8672665;1942422;25644130.0;191.936066543088;775071;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0690192J;Institut national des sciences appliquées de Lyon;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes;4786925;48098760;52885685;2377056;4339385;736404
0691774D;2018;36788697;6505024;4509792;28597988;17029045;-25565948;4.75525387253125;95.2422085461071;;;0;291789846;76.286881797983;677612;;72.4263581298012;73289864.0;15993672;84331245;21.0800933490063;5206419;-2795030;2014925;98855812.0;97.691086493547;413818;2009;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0691774D;Université Claude Bernard - Lyon 1;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes;18188380;364292113;382490199;5114946;2955372;5633997
0692437Z;2018;4685356;245921;69667;3360986;4733191;-4700100;3.55630436672963;96.4436956332704;;;20892;92584632;82.4709828098559;3935787;;49.3418533729547;14839680.0;11171049;25404489;19.3887855514504;2518014;2322132;1012458;19539780.0;64.9696597028907;97073;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes;3992424;108270858;112263282;2518014;716465;41000
0750736T;2018;4879659;788515;;15865769;2670840;-4209723;10.2354334486589;103.94922282199;;;38041;76478727;69.9711049658884;506679;;80.1048111127071;25281292.0;24109570;48320679;46.2680068576484;4755564;5700141;3091951;29491015.0;93.4434911830065;;2011;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0750736T;Université Paris-Dauphine;75116;Paris 16e;A01;Paris;R11;Île-de-France;11187374;113616960;109300442;4755564;11190;1238124
0751723R;2018;8351618;5329423;10132392;4410786;10008790;-28793216;4.21424182931193;95.7857581706881;;;76060;236848370;79.1262788432263;5799976;;62.0199120156627;49394574.0;3762191;47622218;11.9084866967464;7410954;13884101;491451;78187790.0;98.1727235161318;2848345;2009;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0751723R;Université Paris Diderot;75113;Paris 13e;A01;Paris;R11;Île-de-France;12614473;286715122;299329595;7410954;744788;4018016
0753471R;2018;4246790;985900;6300;9647990;2181963;-233955;4.53165122705975;94.8586266806035;;;1474303;110490587;72.6639362428479;406683;;93.0812930466048;37294355.0;25315843;48169900;27.310779156603;2324752;9310100;3548731;37528310.0;93.6652107444634;74619;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France;6890692;144239163;152056980;2324752;1930764;2596804
0753486G;2018;557820;662498;726878;1296740;1906563;-2362084;1.57998658491745;98.4200134150826;;;358890;32023254;84.5392387996627;250262;;43.8362762285617;4539643.0;351340;6592308;12.5544723735256;393941;1914279;1905;6901727.0;66.6453311914885;0;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753486G;École pratique des hautes études;75114;Paris 14e;A01;Paris;R11;Île-de-France;598495;37281257;37879752;393941;6700;1030532
0760165S;2018;2495317;950474;0;3744959;835065;-5382413;5.98110416502272;94.0188958349773;;;1183615;25547220;73.0935402140904;697288;;53.2463339590613;4860344.0;912176;12268816;29.603181056579;921890;1215034;496369;10242757.0;112.212069738996;0;2011;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0760165S;Institut national des sciences appliquées de Rouen;76575;Saint-Étienne-du-Rouvray;A21;Rouen;R28;Normandie;2090480;32860926;34951406;921890;2281593;1167277
0772710C;2018;159160;;6672649;0;129001;-2524909;3.09974885312996;98.2225487679329;;;7805894;11153589;67.7204566059447;;;71.2712809809945;3202713.0;1170400;15777944;94.4730809462318;742407;754575;;5727622.0;127.459112607007;;;E;communauté d'universités et établissements;;communauté d'universités et établissements;0772710C;Université Paris-Est;77083;Champs-sur-Marne;A24;Créteil;R11;Île-de-France;510530;16177297;16470044;742407;;
0912341A;2018;176798332;1634156;287097;24107549;3609405;-6788611;5.43369503018868;94.5641109709741;;;1993810;59917770;66.4944449713963;7563804;;250.471947416107;59286145.0;5726713;53417653;44.5290352885015;2185698;6104848;2676305;66074756.0;279.152453079283;3610007;2015;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0912341A;CentraleSupélec;91272;Gif-sur-Yvette;A25;Versailles;R11;Île-de-France;4896272;85211188;90109437;2185698;460567;1748240
0930603A;2018;1748254;0;0;297507;20000;-177091;17.6047843786786;82.3952156213214;;;673141;1546751;39.4015552746083;166470;;107.507365867021;965928.0;340319;2014664;48.3172165134123;155892;-456203;162705;1143019.0;127.217517067479;0;;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0930603A;Institut supérieur de mécanique de Paris;93070;Saint-Ouen;A24;Créteil;R11;Île-de-France;691095;3234514;3925609;155892;95011;259511
0931238R;2018;5810790;860109;2293958;7489461;3542378;-10161216;3.29971490761665;96.7002845245234;;;127260;146396961;83.1329706703346;3289465;;21.1607861761192;10009579.0;4974819;27308166;14.9572447739693;3209221;4170214;861783;20170795.0;42.6421410927806;516582;2010;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0931238R;Université Paris 13 - Paris Nord;93079;Villetaneuse;A24;Créteil;R11;Île-de-France;5810790;170288968;176099759;3209221;1433243;1919108
0940607Z;2018;82284239;913875;57920099;1686677;1036535;-80716721;7.16104872697846;92.8379397841962;;;3040952;66827463;77.7850771550058;679679;;147.262122685503;32626669.0;976791;66872740;10.2956840237412;3735673;-16047050;141842;113343390.0;511.581130264043;0;2011;E;école normale supérieure;GR30;écoles normales supérieures;0940607Z;École normale supérieure de Cachan;94016;Cachan;A24;Créteil;R11;Île-de-France;6152269;79759823;85912961;3735673;42701;433589
0952198Y;2018;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;communauté d'universités et établissements;;communauté d'universités et établissements;0952198Y;Institut polytechnique Grand Paris;;;;;;;;;;;;
1270009V;2018;455439;102492;;511837;88698;-160460;5.14533654047569;108.68481335331;;;;4907358;68.7595199486842;21247;;134.133795275152;2890144.0;;1067823;11.8830957657622;85060;11663;;3050604.0;141.580866697839;;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1270009V;École française de Rome;;Rome;A99;Étranger;R99;Étranger;367222;7756821;7136987;85060;;343549
3010001R;2018;417012;;;542683;;-346430;6.84807710733368;93.1519228926663;;;;3715982;65.4487665419212;;;118.582226152479;1742132.0;;542683;9.67691824289289;196033;2736;;2088562.0;142.162781819904;;;C;école française à l'étranger;GR40;écoles françaises à l'étranger;3010001R;Institut français d'archéologie orientale du Caire;;Le Caire;A99;Étranger;R99;Étranger;388813;5288883;5677696;196033;;
0060099A;2019;1273596;623503;123386;399105;533046;239035;15.7151429203884;84.2848570796116;;;;958828;26.4645468782517;;;191.944607452739;1628168.0;;1858795;45.6016258053262;11885;-421331;;1389133.0;163.764788636459;;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0060099A;Observatoire de la côte d'azur;6088;Nice;A23;Nice;R93;Provence-Alpes-Côte d'Azur;569370;3053696;3623066;11885;179755;
0141408E;2019;10844947;1142487;0;5657986;6838253;-11011001;3.91451686327256;96.0854195237104;;;1137421;184567146;82.1040070337669;5033699;;44.9351032376815;26960676.0;7683885;42237645;14.8843961530798;4418268;7243251;3262239;37971677.0;63.2870342755092;536201;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0141408E;Université de Caen Normandie;14118;Caen;A05;Caen;R28;Normandie;8799707;215996908;224796758;4418268;8935649;2009825
0250082D;2019;2270783;70950;;959955;1311211;-1157895;13.4523729985892;86.5476270014108;;;184642;1618367;31.2503161977028;233404;;152.546919821038;1899235.0;12849;3565486;39.1232817672005;309627;-107694;182291;3057130.0;245.549268517318;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0250082D;École nationale supérieure de mécanique et des microtechniques;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté;696661;4482061;5178722;309627;487731;122453
0331766R;2019;3193540;315378;1382188;4074763;2076560;-6457815;3.20613397394028;96.3406118451677;;;411594;77310078;83.0698748031552;1733067;;54.8987817567492;13672948.0;2344558;13362598;14.5889797322282;1769403;294966;295683;20130763.0;80.8278042550766;307256;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0331766R;Université Bordeaux-Montaigne;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine;2983831;89660665;93066323;1769403;205691;215860
0333232J;2019;3369420;635392;77445;2061199;1356630;-626570;16.8894179435502;82.7718110307448;;;327816;5055908;34.0292678566717;819966;;314.249096488043;10734963.0;1320821;8296809;55.0838672489798;438876;-103286;534795;11361533.0;332.59094418575;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0333232J;Institut polytechnique de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine;2509350;12297845;14857528;438876;328692;834053
0342032Z;2019;535250;;;1196580;665795;-830560;23.3158072496459;76.6841927503541;;;;347894;5.1852982410223;;;385.666729835712;5511740.0;;1862375;29.5873093188824;355498;906354;;6342300.0;443.782562428024;;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0342032Z;CINES - Centre informatique national de l'enseignement supérieur;;;;;;;1564313;5144925;6709238;355498;;
0350937D;2019;4561148;1633919;299246;3376274;5130793;-6046553;1.55018454597168;98.4498154540283;;;305372;94479556;84.8274775807007;2008606;;35.4603675892227;10800825.0;2779245;21010319;15.2612747519873;140259;1931687;171542;16847378.0;55.3119059696444;1768464;2010;B;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0350937D;Université Rennes 2;35238;Rennes;A14;Rennes;R53;Bretagne;1726572;109651909;111378481;140259;2054010;1482848
0352756F;2019;1523718;;16010;926285;10283930;21871501;-21.5260915684;121.526084155359;;;;4657889;34.5291210557712;;;656.690035607898;29904121.0;;13432555;85.0887871012497;-2992396;360511;;8032620.0;176.395136771441;;;B;communauté d'universités et établissements;;communauté d'universités et établissements;0352756F;Université Bretagne Loire;35238;Rennes;A14;Rennes;R53;Bretagne;-2903814;16393554;13489741;-2992396;1596746;609584
0420093Y;2019;698407;208115;14600;166945;69709;111700;17.7515774823948;82.379899275627;;;606863;2097952;40.0627345599787;320646;;161.862436864867;1939634.0;1668195;3821997;62.398334665924;370638;905898;240353;1827934.0;152.54107304169;156425;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0420093Y;École nationale d'ingénieurs de Saint-Étienne;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes;929591;4313961;5236667;370638;121373;248773
0451761V;2019;7244;;;0;;0;53.396;46.604;;;;0;0;;;1807.36159986267;233973.0;;0;0;50982;46153;;233973.0;1807.36159986267;;;;;;;;;;;;;;;53396;46604;1e+05;50982;;
0590349J;2019;2216401;381564;31600;354631;567747;-216902;6.95897808302968;93.0159807230749;;;2390966;18813797;72.1580546156532;1817740;;101.52650253842;6839528.0;572638;8046693;29.1881674855074;367259;354205;1196885;7056430.0;104.746213233893;0;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France;1814417;24252092;26073038;367259;410284;322638
0650048Z;2019;1094600;80794;0;255253;329860;-771522;2.17225803576491;97.8277419642351;;;390049;14072344;79.0826413068907;621789;;54.1582750443088;2618844.0;931971;5152629;22.5932661473258;-75796;1013656;265791;3390366.0;70.1135212058729;352125;2011;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0650048Z;École nationale d'ingénieurs de Tarbes;65440;Tarbes;A16;Toulouse;R76;Occitanie;386542;17407937;17794479;-75796;295631;1629366
0670190T;2019;2476387;225261;;905342;3015565;-5324940;6.14844583977926;93.8515541602207;;;96072;17637209;78.6021584876512;725388;;85.8041981851238;5019297.0;1060254;8525707;19.6059813229722;449044;3014873;456922;10344237.0;176.833321802215;;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0670190T;Institut national des sciences appliquées de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est;1379624;21058957;22438581;449044;2004437;36466
0671451N;2019;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0671451N;BNU DE STRASBOURG;;;;;;;;;;;;
0690192J;2019;13137509;3472312;1097791;17132993;1351493;-2272947;11.4794469109824;88.520554903019;;;3134954;18451114;33.4703460661113;5631572;;144.538769784033;19592433.0;1292698;39712835;66.6750787956845;3382506;-3049611;3561169;21865380.0;161.306925283879;718552;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0690192J;Institut national des sciences appliquées de Lyon;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes;6328246;48798505;55126750;2920164;1206196;1113105
0692437Z;2019;4152894;342880;102457;4360081;5966623;-1539161;5.80103373853007;92.5005764759529;;;10100;92590600;78.6274646374441;3068360;;67.4043079452695;20394930.0;9918715;25535698;22.7194068665797;5391564;3929618;967199;21934091.0;72.491164434669;119870;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes;6831216;108927382;117758598;5391564;482952;196461
0720916E;2019;4962634;2412323;342180;2351861;6533191;-2033043;2.06087639724726;97.9391236027527;;;1209249;74662993;84.2704124390513;1815447;;39.6541068040744;9558113.0;2047632;19696772;16.7335819831618;183342;2189136;863538;11591156.0;48.0886695947922;0;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0720916E;Le Mans Université;72181;Le Mans;A17;Nantes;R52;Pays de la Loire;1825922;86773375;88599297;183342;1686594;434757
